Year,Brunei Darussalam,Cambodia,Indonesia,Laos,Malaysia,Myanmar,Philippines,Singapore,Thailand,Vietnam
2015,3967.8951,15517635,258162113,6787419,3723155,5243669,11716359,5650018,686576,92191398
2014,4159.8652,152779,255131116,6691454,322817,51924182,112249,5570502,68416772,91235504
2013,44597.27968,1522692,25232263,6600742,2976724,51448196,9848132,5478055,6814365,90267739
2012,47651.2599,14776866,248883232,6508803,2917456,5986514,96866642,5381005,67843979,89301326
2011,4717.273,14537886,24577511,6416327,28635128,555331,9527794,5281344,675313,88349117
2010,35268.1117,143874,242524123,6323418,28112289,5155896,93726624,5163590,672888,87411012
2009,27965.4754,14928,23934478,6229930,2765383,49869,9222879,5010704,66881867,86482923
2008,37951.286,138859,236159276,6135861,2711169,49479752,9751864,4838402,6654576,85597241
2007,32672.36717,13676693,232989141,6041348,26625845,49171586,8929349,4663256,66195615,84762269
2006,398.96692,13474489,22983822,5946593,26143566,48846474,8789419,4486583,65824164,83951800
2005,2612.13345,132721,22671273,5852970,25659393,48482614,86274237,4344637,6542547,83142095
2004,21896.6527,1363377,223614649,5768167,2517419,487377,84678493,4270401,652231,82311227
2003,18555.56649,12853124,22545214,5689065,2468873,47624894,8331954,4226413,64554952,81475825
2002,16846.2198,12634729,2175859,5606101,24198811,471422,813526,4176794,6473164,80642308
2001,16468.12886,1242473,2145652,5519707,2369897,46627994,79665315,4121337,63543322,79817777
2000,188.44826,12152354,21154429,5430853,2318568,4695462,77991569,4053602,6295821,79001142
