Country,Year,Status,Population,Measles,Polio,Infant deaths,Under-five deaths,Total expenditure,GDP,BMI,Thinness,Schooling,Life expectancy
Brunei Darussalam,2015,Developing," 421,437 ",4,99,0,0,2.67,39670.8951,41.2,5.7,14.9,77.7
Brunei Darussalam,2014,Developing," 416,656 ",1,99,0,0,2.65,41590.8652,40.2,5.7,15,77.6
Brunei Darussalam,2013,Developing," 411,702 ",0,99,0,0,2.61,44597.27968,39.2,5.8,14.9,77.1
Brunei Darussalam,2012,Developing," 406,634 ",1,99,0,0,2.3,47651.2599,38.2,5.8,14.4,78.3
Brunei Darussalam,2011,Developing," 401,506 ",4,99,0,0,2.25,47170.273,37.2,5.9,14.1,77.4
Brunei Darussalam,2010,Developing," 396,053 ",0,99,0,0,2.73,35268.1117,36.2,5.9,14.2,76.9
Brunei Darussalam,2009,Developing," 390,311 ",2,99,0,0,2.85,27965.4754,35.2,6,14.1,76.8
Brunei Darussalam,2008,Developing," 384,568 ",3,97,0,0,2.23,37951.286,34.2,6.1,14.2,77.2
Brunei Darussalam,2007,Developing," 378,748 ",0,95,0,0,2.32,32672.36717,33.2,6.2,14.3,76
Brunei Darussalam,2006,Developing," 372,808 ",0,94,0,0,2.24,39800.96692,32.2,6.3,14.3,76.3
Brunei Darussalam,2005,Developing," 366,717 ",9,93,0,0,2.62,26120.13345,31.2,6.4,14.1,76.2
Brunei Darussalam,2004,Developing," 360,461 ",16,92,0,0,3.1,21896.6527,30.1,6.5,13.7,76.4
Brunei Darussalam,2003,Developing," 354,045 ",24,99,0,0,3.9,18555.56649,29.1,6.6,13.4,76
Brunei Darussalam,2002,Developing," 347,463 ",0,99,0,0,3.4,16846.2198,28,6.7,13.3,74.8
Brunei Darussalam,2001,Developing," 340,748 ",11,99,0,0,3.6,16468.12886,27,6.8,13.4,74.7
Brunei Darussalam,2000,Developing," 333,926 ",42,99,0,0,3.5,18800.44826,26.1,6.8,13.4,74.4
Cambodia,2015,Developing," 15,517,635 ",0,87,10,12,5.72,1163.18977,19.6,10.9,10.9,68.7
Cambodia,2014,Developing," 15,277,900 ",0,87,11,12,5.68,1980.687123,18.9,10.9,10.9,68.3
Cambodia,2013,Developing," 15,226,920 ",0,66,11,13,5.93,1280.419568,18.2,11,10.8,67.8
Cambodia,2012,Developing," 14,776,866 ",15,84,12,14,6.24,950.244132,17.6,11,10.7,67.4
Cambodia,2011,Developing," 14,537,886 ",722,87,13,15,5.64,882.491462,17,11,10.7,67
Cambodia,2010,Developing," 14,387,400 ",1156,88,14,16,5.95,785.6928841,16.4,11,10.6,66.6
Cambodia,2009,Developing," 14,928,000 ",4779,95,15,17,6.36,738.2326684,15.9,11.1,10.5,66.1
Cambodia,2008,Developing," 13,885,900 ",4211,91,16,18,5.55,745.7877873,15.3,11.2,10.5,65.6
Cambodia,2007,Developing," 13,676,693 ",3940,82,16,20,3.75,631.675789,14.8,11.3,10.3,65
Cambodia,2006,Developing," 13,474,489 ",1880,80,17,21,4.48,539.8791529,14.3,11.4,10.1,64.1
Cambodia,2005,Developing," 13,272,100 ",2640,82,18,22,5.84,474.2238766,13.9,11.5,10,62.9
Cambodia,2004,Developing," 13,633,770 ",352,86,19,24,6.43,480.615184,13.5,11.6,9.7,61.5
Cambodia,2003,Developing," 12,853,124 ",653,69,21,26,6.74,362.4213785,13.1,11.6,9.3,63
Cambodia,2002,Developing," 12,634,729 ",1361,54,23,29,5.95,339.676984,12.8,11.6,8.2,59.3
Cambodia,2001,Developing," 12,424,730 ",3761,59,25,33,5.7,321.22634,12.4,11.6,7.6,58.5
Cambodia,2000,Developing," 12,152,354 ",12237,62,27,36,5.87,300.685949,12.1,11.6,7.2,57.7
Indonesia,2015,Developing," 258,162,113 ",15099,80,114,136,2.9,3336.16686,27.4,10.4,12.9,69.1
Indonesia,2014,Developing," 255,131,116 ",12943,80,119,142,2.85,3491.595887,26.5,10.4,12.9,68.9
Indonesia,2013,Developing," 252,322,630 ",8419,86,124,148,2.93,3620.663981,25.6,10.5,12.9,68.7
Indonesia,2012,Developing," 248,883,232 ",15489,84,129,154,2.9,3687.953996,24.7,10.5,12.6,68.5
Indonesia,2011,Developing," 245,775,110 ",21893,81,134,161,2.71,3634.27685,23.8,10.6,12.3,68.3
Indonesia,2010,Developing," 242,524,123 ",18869,82,138,167,2.74,3113.48635,22.9,10.6,12.1,68.1
Indonesia,2009,Developing," 239,344,780 ",20818,85,143,174,2.83,2254.44566,22.1,10.7,11.7,67.9
Indonesia,2008,Developing," 236,159,276 ",15369,83,149,181,2.81,2160.52766,21.3,10.7,11.7,67.7
Indonesia,2007,Developing," 232,989,141 ",19456,77,154,188,3.1,1855.93915,20.5,10.8,11,67.5
Indonesia,2006,Developing," 229,838,220 ",20422,78,159,194,2.91,1586.254,19.7,10.8,10.9,67.3
Indonesia,2005,Developing," 226,712,730 ",15853,79,163,201,2.79,1260.928834,19,10.9,11.1,67.2
Indonesia,2004,Developing," 223,614,649 ",29171,79,174,237,2.37,1148.56996,18.2,10.9,11,65.3
Indonesia,2003,Developing," 225,452,140 ",24457,80,173,215,2.53,1640.59447,17.5,10.9,10.8,66.9
Indonesia,2002,Developing," 217,585,900 ",14492,80,177,222,2.27,899.5556857,16.7,11,10.6,66.7
Indonesia,2001,Developing," 214,565,200 ",3825,77,182,229,2.23,747.9817455,16,11,10.6,66.5
Indonesia,2000,Developing," 211,544,290 ",3344,72,187,237,1.98,780.92744,15.4,11,10.7,66.3
Laos,2015,Developing," 6,787,419 ",56,89,8,11,1.9,2124.26,21.7,8.8,10.8,65.7
Laos,2014,Developing," 6,691,454 ",339,88,8,11,1.87,1982.52,20.9,8.9,10.6,65.3
Laos,2013,Developing," 6,600,742 ",71,86,9,12,2,1813.8,20.1,9,10.4,64.9
Laos,2012,Developing," 6,508,803 ",32,78,9,12,2.12,1566.2,19.4,9.1,10.2,64.4
Laos,2011,Developing," 6,416,327 ",113,79,9,13,2.2,1397,18.7,9.2,9.9,64
Laos,2010,Developing," 6,323,418 ",153,76,10,13,2.75,1187.02,18,9.3,9.6,63.6
Laos,2009,Developing," 6,229,930 ",78,67,10,14,3.77,1032.33,17.3,9.4,9.4,63.1
Laos,2008,Developing," 6,135,861 ",174,60,10,14,2.77,969.07,16.7,9.6,9.2,62.6
Laos,2007,Developing," 6,041,348 ",1678,46,11,15,4.14,787.38,16.1,9.7,9,62.1
Laos,2006,Developing," 5,946,593 ",58,56,11,15,4.14,661.57,15.5,9.9,9,61.5
Laos,2005,Developing," 5,852,970 ",295,50,11,16,4.32,525.98,14.9,10,8.7,61
Laos,2004,Developing," 5,768,167 ",1491,46,12,16,4.54,459.6,14.4,10.1,8.6,64
Laos,2003,Developing," 5,689,065 ",1810,52,12,17,4.91,397.31,13.8,10.2,8.3,59.8
Laos,2002,Developing," 5,606,101 ",2070,55,13,18,4.4,328.93,13.3,10.3,8,59.3
Laos,2001,Developing," 5,519,707 ",94,55,13,19,4.32,318.27,12.7,10.4,8,58.7
Laos,2000,Developing," 5,430,853 ",332,57,14,20,3.41,316.67,12.3,10.5,8,58.1
